name,high_rank_contents_count,low_rank_contents_count,high_count,high_count_day,high_count_rank,next_count_rank,hypothesis1,hypothesis2
리니지2M(19),9.00,0.00,170382,2019_11_27,"[1, 1]","[1, 1]",True,False
Brain Out – 가장 어색한 게임,3.85,1.05,668476,2019_10_20,"[1, 3, 2, 3, 3]","[1, 3, 1, 3, 2]",True,False
리니지2M(12),4.33,0.00,170397,2019_11_27,[2],[2],True,False
마기아 : 카르마 사가,1.00,0.38,166353,2019_11_20,"[101, 7, 101, 101, 101]","[101, 7, 101, 101, 101]",True,False
Pocket World 3D,3.20,0.44,349884,2019_11_19,"[19, 9, 6, 18, 30]","[19, 10, 6, 6, 18]",True,False
Rusty Blower 3D,0.33,0.00,3,2019_11_28,"[8, 101, 15, 101, 101]","[6, 101, 8, 15, 101]",True,True
Sky Roller,2.83,3.29,30353,2019_11_19,"[16, 13, 16, 29, 101]","[14, 9, 17, 8, 101]",False,True
게임빌프로야구 슈퍼스타즈,7.33,0.00,335234,2019_11_26,"[101, 101, 4]","[4, 101, 3]",True,True
Ink Inc. - Tattoo Tycoon,3.00,2.21,2058906,2019_11_24,"[9, 4]","[9, 7]",True,False
무한의 계단,7.57,3.28,430212,2019_10_23,"[11, 14, 19, 12, 12]","[14, 16, 22, 12, 11]",True,False
워드퍼즐 - 단어 게임,0.12,0.37,642,2019_09_09,"[101, 14, 48, 101, 13]","[101, 10, 21, 101, 12]",False,True
애프터라이프,0.00,1.14,8567,2019_11_22,"[58, 101, 27, 23, 101]","[6, 58, 25, 27, 101]",False,True
엑소스 히어로즈,19.80,23.60,2656552,2019_11_20,"[101, 2, 12, 1]","[12, 3, 1, 1]",False,True
무한의 농장,5.50,1.79,225459,2019_11_22,"[16, 49, 85, 16, 19]","[15, 45, 75, 16, 14]",True,True
워너비챌린지,2.50,0.00,123067,2019_11_28,[58],[16],True,True
밥 먹고 갈래요?,0.67,0.01,242,2019_11_12,[101],[101],True,False
꽃피는 달빛,0.17,0.70,49530,2019_11_07,"[35, 101, 101, 29, 101]","[40, 101, 101, 20, 32]",False,False
브롤스타즈,2.44,1.72,1234584,2019_09_18,"[7, 6, 15, 12, 6]","[7, 6, 19, 17, 5]",True,False
기적의 검,0.50,1.17,971028,2019_11_08,"[24, 27, 31, 101, 101]","[16, 25, 29, 21, 101]",False,True
꿈의 정원 (Gardenscapes),0.62,0.13,402,2019_10_09,"[23, 30, 26, 5, 22]","[22, 30, 37, 5, 20]",True,False
콜 오브 듀티: 모바일,8.89,6.12,383779,2019_10_01,"[101, 1, 101, 2, 3]","[101, 1, 101, 2, 2]",True,False
꿈의 집 (Homescapes),0.00,0.47,3167,2019_10_10,"[19, 21, 19, 22, 17]","[22, 19, 23, 22, 17]",False,False
Fun Race 3D,0.25,0.12,26954,2019_11_27,"[26, 36, 49, 11, 15]","[28, 38, 49, 15, 15]",True,False
Cannon Shot!,4.20,4.89,6388,2019_11_14,"[72, 72, 101, 101, 15]","[72, 28, 101, 101, 19]",False,False
Stencil Art - Spray Masters,1.33,2.50,573,2019_11_18,"[101, 100, 51, 28, 101]","[101, 51, 22, 56, 100]",False,True
Tales Rush!,1.50,0.56,131972,2019_11_26,"[38, 101, 101, 101, 101]","[23, 101, 101, 101, 101]",True,False
Supreme Duelist Stickman,5.67,2.63,1724188,2019_10_23,"[83, 79, 101, 101]","[76, 80, 101, 101]",True,False
Clash of Blocks,3.80,3.67,3754,2019_11_01,"[101, 101, 101, 101, 101]","[101, 101, 101, 101, 101]",True,False
클래시 로얄,3.75,2.77,733995,2019_10_02,"[52, 60, 55, 50, 58]","[47, 50, 56, 54, 65]",True,False
V4,17.00,3.18,15307387,2019_09_27,"[101, 76, 101, 101, 101]","[101, 68, 101, 101, 101]",True,False
Crazy Shopping,4.43,3.29,19184,2019_10_20,"[101, 80, 101, 25, 8]","[101, 25, 101, 22, 5]",True,True
왕비의 맛,0.67,0.05,33107,2019_11_03,"[101, 101, 24, 18, 101]","[101, 101, 30, 30, 101]",True,False
1945,0.20,0.33,7128,2019_10_22,"[43, 67, 35, 36, 91]","[42, 70, 41, 30, 93]",False,False
궁수의 전설,1.57,1.72,277642,2019_09_07,"[8, 21, 51, 58, 41]","[8, 23, 41, 53, 40]",False,True
배틀그라운드,0.43,1.63,1296356,2019_10_14,"[31, 28, 35, 27, 14]","[27, 28, 32, 35, 17]",False,False
펭귄의 섬,1.25,0.67,8254,2019_09_09,"[101, 101, 58, 101, 19]","[101, 101, 62, 101, 14]",True,False
Puzzrama (퍼즈라마),0.50,0.00,29,2019_11_25,"[8, 9, 101, 101, 101]","[8, 15, 101, 101, 101]",True,False
Rummikub,0.17,0.33,4459,2019_11_01,"[90, 56, 85, 87, 101]","[89, 58, 79, 27, 101]",False,True
꿈의 마을 (Township),0.00,0.11,797,2019_10_10,"[52, 44, 20, 42, 33]","[47, 42, 19, 59, 44]",False,True
Park of Monster,0.75,0.52,1575304,2019_11_10,"[101, 101, 101, 101, 101]","[101, 101, 101, 101, 101]",True,False
Mr Bullet - 스파이 퍼즐,1.50,1.94,7165982,2019_09_16,"[13, 58, 7, 43, 51]","[13, 30, 7, 45, 47]",False,False
킹 오브 파이터 올스타,2.67,1.38,123977,2019_11_21,"[101, 101, 101, 101, 101]","[101, 101, 101, 101, 101]",True,False
바이러스 워 - 우주 슈팅 게임,0.33,0.25,6348,2019_09_10,"[47, 24, 24, 44, 22]","[39, 24, 19, 43, 27]",True,True
염왕이 뿔났다,7.33,6.00,211623,2019_11_25,"[17, 8, 101, 101, 26]","[26, 5, 10, 101, 30]",True,False
Sandwich!,0.20,0.11,654,2019_10_30,"[101, 101, 42, 13, 96]","[101, 101, 45, 14, 63]",True,False
계급장 키우기,0.33,0.34,118023,2019_09_10,"[101, 101, 101, 101, 101]","[101, 101, 101, 101, 101]",False,False
킹 오브 타워,0.33,0.37,18616,2019_10_24,"[3, 101, 6, 7, 101]","[3, 101, 6, 5, 101]",False,False
